accidentid,date,year,time,junction,severity,primaryvehicletype,probablecause,weathercondition,injuredcount,fatalitycount,vehiclesinvolved,policecaseregistered,data_source,is_simulated
NGP-00017,2020-02-08,2020,06:54,Indora Chowk,Fatal,Motorcycle,Distracted Driving,Clear,2,1,1,No,SIMULATED,True
NGP-00018,2020-02-08,2020,17:06,Kamptee Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00019,2020-02-09,2020,21:17,Lokmat Square,Minor,Car,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00020,2020-02-10,2020,07:56,Sitabuldi Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00021,2020-02-13,2020,05:35,Laxmi Nagar Square,Moderate,Motorcycle,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-00022,2020-02-17,2020,19:25,Kasturchand Park Square,Minor,Car,Drunk Driving,Rainy,1,0,2,Yes,SIMULATED,True
NGP-00023,2020-02-19,2020,06:38,Sitabuldi Chowk,Severe,Auto-Rickshaw,Poor Visibility (Fog/Rain),Hot/Humid,4,0,3,Yes,SIMULATED,True
NGP-00024,2020-02-21,2020,17:14,Automotive Square,Minor,Bus,Distracted Driving,Clear,0,0,3,Yes,SIMULATED,True
NGP-00025,2020-02-24,2020,18:38,Ajni Chowk,Fatal,Car,Distracted Driving,Clear,2,2,2,No,SIMULATED,True
NGP-00026,2020-02-25,2020,10:12,Pardi Chowk,Moderate,Pedestrian-involved,Drunk Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00027,2020-02-26,2020,07:50,Medical Chowk,Minor,Bicycle,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00028,2020-02-28,2020,21:31,Laxmi Nagar Square,Minor,Pedestrian-involved,Pothole/Road Defect,Hot/Humid,0,0,1,Yes,SIMULATED,True
NGP-00029,2020-02-29,2020,21:29,LAD Square,Fatal,Car,Lane Violation,Rainy,4,1,4,Yes,SIMULATED,True
NGP-00030,2020-03-02,2020,11:21,Katol Road Chowk,Fatal,Bicycle,Signal Jumping,Clear,2,1,1,Yes,SIMULATED,True
NGP-00031,2020-03-10,2020,17:03,Kadbi Chowk,Moderate,Bus,Wrong-side Driving,Rainy,2,0,3,Yes,SIMULATED,True
NGP-00032,2020-03-12,2020,12:29,Kamptee Chowk,Fatal,Truck,Distracted Driving,Rainy,4,1,2,Yes,SIMULATED,True
NGP-00033,2020-03-14,2020,17:15,Medical Chowk,Severe,Car,Wrong-side Driving,Clear,4,0,3,Yes,SIMULATED,True
NGP-00035,2020-03-16,2020,08:49,LIC Chowk,Minor,Motorcycle,Signal Jumping,Clear,0,0,4,Yes,SIMULATED,True
NGP-00034,2020-03-16,2020,17:15,LIC Chowk,Minor,Car,Overspeeding,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00036,2020-03-19,2020,16:34,Manakpur Chowk,Minor,Motorcycle,Wrong-side Driving,Overcast,1,0,1,Yes,SIMULATED,True
NGP-00037,2020-03-21,2020,06:45,Ajni Chowk,Minor,Bicycle,Lane Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00040,2020-03-21,2020,09:28,Shraddhanand Peth Square,Minor,Car,Pothole/Road Defect,Clear,0,0,4,Yes,SIMULATED,True
NGP-00039,2020-03-21,2020,17:35,Shraddhanand Peth Square,Moderate,Car,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00038,2020-03-21,2020,19:46,Cotton Market Chowk,Minor,Motorcycle,Overspeeding,Hot/Humid,1,0,3,Yes,SIMULATED,True
NGP-00041,2020-03-22,2020,10:17,Sitabuldi Chowk,Severe,Motorcycle,Poor Visibility (Fog/Rain),Rainy,5,0,2,Yes,SIMULATED,True
NGP-00042,2020-03-23,2020,00:44,LAD Square,Moderate,Truck,Pothole/Road Defect,Clear,2,0,4,Yes,SIMULATED,True
NGP-00045,2020-03-24,2020,07:01,Variety Square,Minor,Truck,Pothole/Road Defect,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-00044,2020-03-24,2020,10:13,Medical Chowk,Minor,Motorcycle,Poor Visibility (Fog/Rain),Rainy,1,0,3,Yes,SIMULATED,True
NGP-00043,2020-03-24,2020,20:37,Indora Chowk,Minor,Car,Signal Jumping,Clear,1,0,1,Yes,SIMULATED,True
NGP-00046,2020-03-25,2020,18:39,Gaddi Godam Chowk,Moderate,Motorcycle,Wrong-side Driving,Rainy,2,0,1,No,SIMULATED,True
NGP-00047,2020-03-26,2020,19:30,Hingna Chowk,Minor,Motorcycle,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00048,2020-04-01,2020,17:45,Automotive Square,Minor,Truck,Overspeeding,Foggy,1,0,2,Yes,SIMULATED,True
NGP-00049,2020-04-03,2020,15:22,Bardi Chowk,Minor,Motorcycle,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00050,2020-04-04,2020,02:55,Laxmi Nagar Square,Minor,Auto-Rickshaw,Distracted Driving,Overcast,0,0,4,Yes,SIMULATED,True
NGP-00051,2020-04-05,2020,19:04,Pratap Nagar Chowk,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00052,2020-04-16,2020,19:42,Shraddhanand Peth Square,Minor,Car,Distracted Driving,Rainy,0,0,1,No,SIMULATED,True
NGP-00053,2020-04-17,2020,17:38,Manish Nagar-Besa Junction,Minor,Motorcycle,Pedestrian Crossing Violation,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00055,2020-04-18,2020,07:56,Medical Chowk,Minor,Car,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-00054,2020-04-18,2020,21:45,Katol Road Chowk,Moderate,Motorcycle,Drunk Driving,Hot/Humid,3,0,3,No,SIMULATED,True
NGP-00056,2020-04-20,2020,18:05,Sitabuldi Chowk,Minor,Motorcycle,Signal Jumping,Hot/Humid,1,0,4,No,SIMULATED,True
NGP-00057,2020-04-21,2020,13:38,Itwari,Minor,Motorcycle,Lane Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-00058,2020-04-21,2020,21:47,Manewada Chowk,Moderate,Motorcycle,Pedestrian Crossing Violation,Rainy,1,0,1,Yes,SIMULATED,True
NGP-00059,2020-04-22,2020,14:29,LIC Chowk,Minor,Bicycle,Lane Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-00060,2020-04-26,2020,07:42,Variety Square,Severe,Motorcycle,Overspeeding,Clear,3,0,2,No,SIMULATED,True
NGP-00061,2020-04-27,2020,08:37,Abhyankar Nagar Square,Moderate,Car,Pedestrian Crossing Violation,Clear,3,0,1,Yes,SIMULATED,True
NGP-00062,2020-04-28,2020,17:20,Airport T-Point,Minor,Motorcycle,Drunk Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00063,2020-05-03,2020,14:35,Kasturchand Park Square,Minor,Truck,Brake Failure,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-00064,2020-05-04,2020,08:39,Bardi Chowk,Severe,Motorcycle,Pedestrian Crossing Violation,Clear,5,0,4,Yes,SIMULATED,True
NGP-00065,2020-05-05,2020,08:43,Itwari,Fatal,Truck,Signal Jumping,Clear,2,1,1,Yes,SIMULATED,True
NGP-00066,2020-05-08,2020,15:40,Chhatrapati Square,Minor,Auto-Rickshaw,Signal Jumping,Foggy,0,0,4,No,SIMULATED,True
NGP-00067,2020-05-09,2020,17:01,Golibar Chowk,Severe,Pedestrian-involved,Brake Failure,Rainy,2,0,1,No,SIMULATED,True
NGP-00068,2020-05-13,2020,17:15,Pratap Nagar Chowk,Severe,Bicycle,Poor Visibility (Fog/Rain),Clear,3,0,3,Yes,SIMULATED,True
NGP-00069,2020-05-15,2020,08:42,Ajit Bakery Square,Moderate,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,3,0,2,Yes,SIMULATED,True
NGP-00070,2020-05-16,2020,23:10,Ajit Bakery Square,Fatal,Bicycle,Overspeeding,Hot/Humid,2,1,3,Yes,SIMULATED,True
NGP-00071,2020-05-18,2020,08:14,Medical Chowk,Moderate,Bicycle,Lane Violation,Overcast,3,0,3,No,SIMULATED,True
NGP-00072,2020-05-20,2020,20:35,Automotive Square,Moderate,Car,Overspeeding,Clear,1,0,3,Yes,SIMULATED,True
NGP-00073,2020-05-21,2020,08:21,Chhatrapati Square,Minor,Motorcycle,Overspeeding,Overcast,0,0,2,No,SIMULATED,True
NGP-00075,2020-05-22,2020,18:25,Variety Square,Minor,Auto-Rickshaw,Lane Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00074,2020-05-22,2020,18:34,Mate Chowk,Severe,Car,Drunk Driving,Clear,5,0,2,Yes,SIMULATED,True
NGP-00076,2020-05-25,2020,10:52,LIC Chowk,Minor,Car,Signal Jumping,Clear,1,0,2,Yes,SIMULATED,True
NGP-00078,2020-05-27,2020,09:52,LAD Square,Moderate,Pedestrian-involved,Pothole/Road Defect,Rainy,3,0,1,Yes,SIMULATED,True
NGP-00077,2020-05-27,2020,18:07,Kachipura Square,Minor,Car,Brake Failure,Clear,1,0,1,Yes,SIMULATED,True
NGP-00079,2020-05-28,2020,19:55,RBI Chowk,Minor,Car,Drunk Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00080,2020-05-29,2020,17:45,Shankar Nagar Square,Fatal,Car,Distracted Driving,Clear,1,1,3,Yes,SIMULATED,True
NGP-00081,2020-06-01,2020,21:34,Gaddi Godam Chowk,Severe,Auto-Rickshaw,Pothole/Road Defect,Clear,5,0,2,Yes,SIMULATED,True
NGP-00082,2020-06-02,2020,13:20,Sakkardara Square,Minor,Car,Pothole/Road Defect,Overcast,1,0,4,Yes,SIMULATED,True
NGP-00083,2020-06-05,2020,19:35,Kasturchand Park Square,Minor,Motorcycle,Brake Failure,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00084,2020-06-08,2020,16:25,Indora Chowk,Moderate,Auto-Rickshaw,Pothole/Road Defect,Clear,3,0,2,Yes,SIMULATED,True
NGP-00085,2020-06-09,2020,14:32,Jhansi Rani Square,Minor,Bicycle,Pedestrian Crossing Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00086,2020-06-09,2020,17:37,Pratap Nagar Chowk,Minor,Motorcycle,Overspeeding,Clear,0,0,4,Yes,SIMULATED,True
NGP-00087,2020-06-12,2020,21:14,Lokmat Square,Fatal,Motorcycle,Wrong-side Driving,Foggy,1,1,4,Yes,SIMULATED,True
NGP-00088,2020-06-14,2020,11:01,Abhyankar Nagar Square,Moderate,Motorcycle,Distracted Driving,Clear,3,0,1,Yes,SIMULATED,True
NGP-00089,2020-06-14,2020,17:17,Vaishnodevi Chowk,Minor,Motorcycle,Signal Jumping,Clear,0,0,4,Yes,SIMULATED,True
NGP-00090,2020-06-19,2020,19:17,Variety Square,Minor,Pedestrian-involved,Drunk Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-00092,2020-06-21,2020,07:48,Kadbi Chowk,Minor,Car,Distracted Driving,Hot/Humid,1,0,4,Yes,SIMULATED,True
NGP-00091,2020-06-21,2020,20:54,Bardi Chowk,Minor,Auto-Rickshaw,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-00093,2020-06-23,2020,12:44,Bardi Chowk,Moderate,Car,Pedestrian Crossing Violation,Rainy,2,0,3,Yes,SIMULATED,True
NGP-00094,2020-06-24,2020,04:32,Chhatrapati Square,Minor,Motorcycle,Distracted Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00095,2020-06-27,2020,04:23,Ajni Chowk,Moderate,Motorcycle,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00096,2020-06-28,2020,16:49,Golibar Chowk,Moderate,Motorcycle,Signal Jumping,Rainy,1,0,1,Yes,SIMULATED,True
NGP-00097,2020-06-30,2020,08:29,Pardi Chowk,Minor,Car,Pothole/Road Defect,Foggy,1,0,1,Yes,SIMULATED,True
NGP-00099,2020-07-04,2020,07:45,Vaishnodevi Chowk,Moderate,Car,Brake Failure,Clear,3,0,2,Yes,SIMULATED,True
NGP-00098,2020-07-04,2020,17:03,Manakpur Chowk,Moderate,Auto-Rickshaw,Drunk Driving,Clear,2,0,2,Yes,SIMULATED,True
NGP-00101,2020-07-13,2020,10:40,RBI Chowk,Minor,Motorcycle,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-00100,2020-07-13,2020,20:29,Kadbi Chowk,Minor,Car,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00102,2020-07-16,2020,21:02,Jhansi Rani Square,Minor,Auto-Rickshaw,Distracted Driving,Overcast,0,0,4,Yes,SIMULATED,True
NGP-00103,2020-07-18,2020,16:18,Hingna Chowk,Minor,Car,Brake Failure,Rainy,1,0,4,Yes,SIMULATED,True
NGP-00104,2020-07-20,2020,19:41,Gaddi Godam Chowk,Minor,Truck,Signal Jumping,Clear,0,0,4,Yes,SIMULATED,True
NGP-00105,2020-07-21,2020,19:29,Pratap Nagar Chowk,Minor,Bicycle,Distracted Driving,Clear,0,0,3,Yes,SIMULATED,True
NGP-00106,2020-07-23,2020,12:57,Katol Road Chowk,Minor,Motorcycle,Brake Failure,Hot/Humid,1,0,4,No,SIMULATED,True
NGP-00107,2020-07-23,2020,16:55,Variety Square,Moderate,Motorcycle,Distracted Driving,Rainy,2,0,1,Yes,SIMULATED,True
NGP-00108,2020-07-24,2020,13:24,Hingna Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00109,2020-07-24,2020,19:13,Medical Chowk,Minor,Car,Signal Jumping,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00110,2020-07-25,2020,17:15,Pratap Nagar Chowk,Moderate,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00111,2020-07-26,2020,19:19,Manish Nagar-Besa Junction,Moderate,Auto-Rickshaw,Overspeeding,Clear,3,0,3,No,SIMULATED,True
NGP-00112,2020-07-27,2020,07:29,Lokmat Square,Moderate,Motorcycle,Lane Violation,Clear,2,0,4,Yes,SIMULATED,True
NGP-00113,2020-07-27,2020,18:06,Pardi Chowk,Moderate,Motorcycle,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-00114,2020-07-28,2020,17:42,LAD Square,Moderate,Motorcycle,Poor Visibility (Fog/Rain),Clear,2,0,1,Yes,SIMULATED,True
NGP-00115,2020-08-03,2020,13:39,Sakkardara Square,Minor,Motorcycle,Wrong-side Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00116,2020-08-05,2020,10:14,Ajit Bakery Square,Minor,Motorcycle,Lane Violation,Foggy,0,0,2,Yes,SIMULATED,True
NGP-00117,2020-08-05,2020,20:21,Kasturchand Park Square,Moderate,Auto-Rickshaw,Lane Violation,Clear,3,0,3,Yes,SIMULATED,True
NGP-00118,2020-08-08,2020,21:19,Chhatrapati Square,Severe,Motorcycle,Overspeeding,Clear,3,0,3,No,SIMULATED,True
NGP-00119,2020-08-10,2020,08:41,Vaishnodevi Chowk,Moderate,Motorcycle,Lane Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00120,2020-08-12,2020,18:02,Abhyankar Nagar Square,Severe,Pedestrian-involved,Pedestrian Crossing Violation,Overcast,2,0,4,Yes,SIMULATED,True
NGP-00121,2020-08-14,2020,19:27,Shraddhanand Peth Square,Minor,Bicycle,Pedestrian Crossing Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00122,2020-08-17,2020,14:51,Sitabuldi Chowk,Moderate,Car,Distracted Driving,Clear,3,0,1,Yes,SIMULATED,True
NGP-00123,2020-08-18,2020,23:53,Lokmat Square,Minor,Motorcycle,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00124,2020-08-20,2020,18:16,LAD Square,Minor,Truck,Poor Visibility (Fog/Rain),Clear,0,0,3,Yes,SIMULATED,True
NGP-00125,2020-08-24,2020,21:31,Kachipura Square,Moderate,Auto-Rickshaw,Wrong-side Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00126,2020-08-25,2020,16:39,Lokmat Square,Minor,Motorcycle,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-00127,2020-08-26,2020,16:43,Manish Nagar-Besa Junction,Minor,Car,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00128,2020-08-28,2020,16:11,Alankar Square,Minor,Bicycle,Distracted Driving,Foggy,1,0,4,Yes,SIMULATED,True
NGP-00129,2020-08-28,2020,18:22,Variety Square,Fatal,Pedestrian-involved,Brake Failure,Rainy,2,1,3,No,SIMULATED,True
NGP-00130,2020-09-04,2020,18:48,Automotive Square,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00131,2020-09-06,2020,16:27,Gaddi Godam Chowk,Minor,Motorcycle,Distracted Driving,Foggy,0,0,4,Yes,SIMULATED,True
NGP-00132,2020-09-13,2020,10:58,Manakpur Chowk,Severe,Bicycle,Lane Violation,Rainy,3,0,1,Yes,SIMULATED,True
NGP-00133,2020-09-14,2020,18:32,Pratap Nagar Chowk,Minor,Truck,Overspeeding,Clear,0,0,1,Yes,SIMULATED,True
NGP-00134,2020-09-17,2020,14:48,Medical Chowk,Minor,Motorcycle,Signal Jumping,Rainy,1,0,1,Yes,SIMULATED,True
NGP-00135,2020-09-18,2020,09:42,LIC Chowk,Minor,Car,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00136,2020-09-23,2020,18:17,Lokmat Square,Moderate,Motorcycle,Drunk Driving,Rainy,2,0,4,Yes,SIMULATED,True
NGP-00137,2020-09-27,2020,03:55,Cotton Market Chowk,Severe,Car,Lane Violation,Clear,4,0,1,Yes,SIMULATED,True
NGP-00138,2020-09-30,2020,21:29,Medical Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00139,2020-10-01,2020,21:12,Airport T-Point,Moderate,Car,Wrong-side Driving,Rainy,3,0,2,Yes,SIMULATED,True
NGP-00140,2020-10-06,2020,16:37,Chhatrapati Square,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,1,0,2,Yes,SIMULATED,True
NGP-00141,2020-10-07,2020,14:47,Lokmat Square,Moderate,Motorcycle,Wrong-side Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-00142,2020-10-08,2020,09:33,Katol Road Chowk,Minor,Motorcycle,Distracted Driving,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00144,2020-10-09,2020,08:14,Kachipura Square,Minor,Truck,Signal Jumping,Rainy,1,0,1,Yes,SIMULATED,True
NGP-00143,2020-10-09,2020,22:04,Chhatrapati Square,Fatal,Motorcycle,Signal Jumping,Rainy,4,1,2,Yes,SIMULATED,True
NGP-00145,2020-10-11,2020,16:12,Kasturchand Park Square,Minor,Motorcycle,Lane Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-00146,2020-10-12,2020,10:29,Lokmat Square,Minor,Truck,Signal Jumping,Clear,0,0,2,Yes,SIMULATED,True
NGP-00147,2020-10-14,2020,03:26,Itwari,Minor,Car,Lane Violation,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00148,2020-10-16,2020,08:34,Mental Hospital Chowk,Moderate,Motorcycle,Poor Visibility (Fog/Rain),Overcast,1,0,4,Yes,SIMULATED,True
NGP-00149,2020-10-17,2020,22:46,Katol Road Chowk,Minor,Motorcycle,Signal Jumping,Clear,0,0,4,Yes,SIMULATED,True
NGP-00150,2020-10-18,2020,10:47,Shraddhanand Peth Square,Severe,Truck,Pedestrian Crossing Violation,Hot/Humid,2,0,1,Yes,SIMULATED,True
NGP-00151,2020-10-19,2020,15:15,Pardi Chowk,Moderate,Motorcycle,Brake Failure,Clear,3,0,4,Yes,SIMULATED,True
NGP-00152,2020-10-20,2020,17:28,Laxmi Nagar Square,Fatal,Pedestrian-involved,Brake Failure,Clear,3,2,3,No,SIMULATED,True
NGP-00153,2020-10-21,2020,13:00,Lokmat Square,Moderate,Car,Brake Failure,Clear,2,0,3,Yes,SIMULATED,True
NGP-00155,2020-10-22,2020,17:02,RBI Chowk,Minor,Truck,Signal Jumping,Rainy,0,0,2,Yes,SIMULATED,True
NGP-00154,2020-10-22,2020,19:09,Laxmi Nagar Square,Severe,Truck,Wrong-side Driving,Clear,2,0,3,Yes,SIMULATED,True
NGP-00156,2020-10-26,2020,14:14,Medical Chowk,Fatal,Pedestrian-involved,Poor Visibility (Fog/Rain),Clear,4,2,2,Yes,SIMULATED,True
NGP-00157,2020-10-28,2020,23:37,Mate Chowk,Moderate,Motorcycle,Drunk Driving,Rainy,3,0,2,Yes,SIMULATED,True
NGP-00158,2020-10-29,2020,09:01,Itwari,Minor,Car,Overspeeding,Clear,1,0,1,Yes,SIMULATED,True
NGP-00159,2020-10-31,2020,07:07,Ajit Bakery Square,Minor,Bus,Brake Failure,Rainy,1,0,4,Yes,SIMULATED,True
NGP-00160,2020-11-01,2020,14:24,Cotton Market Chowk,Minor,Auto-Rickshaw,Pothole/Road Defect,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00161,2020-11-02,2020,07:01,Manakpur Chowk,Minor,Auto-Rickshaw,Brake Failure,Clear,1,0,1,Yes,SIMULATED,True
NGP-00162,2020-11-06,2020,10:24,Laxmi Nagar Square,Minor,Bus,Lane Violation,Clear,0,0,4,Yes,SIMULATED,True
NGP-00163,2020-11-08,2020,16:26,LIC Chowk,Minor,Motorcycle,Brake Failure,Clear,0,0,2,Yes,SIMULATED,True
NGP-00164,2020-11-09,2020,06:00,Ajni Chowk,Moderate,Auto-Rickshaw,Lane Violation,Clear,3,0,3,Yes,SIMULATED,True
NGP-00165,2020-11-11,2020,08:27,Vaishnodevi Chowk,Minor,Motorcycle,Brake Failure,Foggy,1,0,3,Yes,SIMULATED,True
NGP-00167,2020-11-13,2020,18:36,Pratap Nagar Chowk,Fatal,Car,Pedestrian Crossing Violation,Clear,1,2,3,Yes,SIMULATED,True
NGP-00166,2020-11-13,2020,20:59,Dighori Chowk,Moderate,Auto-Rickshaw,Wrong-side Driving,Clear,3,0,2,Yes,SIMULATED,True
NGP-00168,2020-11-14,2020,00:08,Indora Chowk,Minor,Car,Drunk Driving,Overcast,0,0,4,Yes,SIMULATED,True
NGP-00169,2020-11-16,2020,18:17,Kachipura Square,Fatal,Bus,Drunk Driving,Clear,4,1,2,Yes,SIMULATED,True
NGP-00170,2020-11-16,2020,18:38,Manakpur Chowk,Moderate,Bicycle,Lane Violation,Overcast,2,0,2,Yes,SIMULATED,True
NGP-00171,2020-11-18,2020,12:19,Kachipura Square,Minor,Motorcycle,Wrong-side Driving,Hot/Humid,0,0,1,Yes,SIMULATED,True
NGP-00172,2020-11-21,2020,17:30,Alankar Square,Severe,Bus,Signal Jumping,Overcast,5,0,3,Yes,SIMULATED,True
NGP-00173,2020-11-22,2020,20:47,Chhatrapati Square,Minor,Pedestrian-involved,Wrong-side Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-00174,2020-11-23,2020,17:47,Itwari,Minor,Bicycle,Overspeeding,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00175,2020-11-24,2020,21:18,Cotton Market Chowk,Minor,Auto-Rickshaw,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-00176,2020-11-29,2020,15:59,Kamptee Chowk,Minor,Pedestrian-involved,Signal Jumping,Foggy,0,0,2,Yes,SIMULATED,True
NGP-00177,2020-12-04,2020,05:32,Mental Hospital Chowk,Minor,Car,Signal Jumping,Rainy,1,0,3,Yes,SIMULATED,True
NGP-00178,2020-12-05,2020,05:16,Ajni Chowk,Minor,Truck,Wrong-side Driving,Rainy,0,0,1,Yes,SIMULATED,True
NGP-00179,2020-12-06,2020,07:20,Sakkardara Square,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-00180,2020-12-07,2020,14:56,Dighori Chowk,Fatal,Pedestrian-involved,Lane Violation,Rainy,1,2,4,Yes,SIMULATED,True
NGP-00181,2020-12-08,2020,10:13,Indora Chowk,Minor,Car,Pedestrian Crossing Violation,Overcast,0,0,4,Yes,SIMULATED,True
NGP-00184,2020-12-10,2020,14:25,Pardi Chowk,Minor,Motorcycle,Overspeeding,Clear,0,0,3,Yes,SIMULATED,True
NGP-00182,2020-12-10,2020,17:02,Alankar Square,Moderate,Truck,Pedestrian Crossing Violation,Clear,2,0,2,Yes,SIMULATED,True
NGP-00183,2020-12-10,2020,18:51,LIC Chowk,Severe,Auto-Rickshaw,Drunk Driving,Rainy,4,0,2,Yes,SIMULATED,True
NGP-00185,2020-12-14,2020,08:43,Cotton Market Chowk,Moderate,Motorcycle,Signal Jumping,Clear,3,0,3,Yes,SIMULATED,True
NGP-00186,2020-12-18,2020,15:17,Ajit Bakery Square,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-00187,2020-12-19,2020,07:28,Kasturchand Park Square,Minor,Motorcycle,Brake Failure,Overcast,1,0,1,Yes,SIMULATED,True
