junction,period_date,actual_risk,predicted_risk,risk_score,is_error,is_dangerous_underprediction,probabilities,accidents_lag_1,accidents_rolling_mean_3
Bhande Plot Square,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Chhatrapati Square,2025-01-01,LOW,LOW,1.52,False,False,"{""LOW"": 0.9566, ""MEDIUM"": 0.0434, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Chhatrapati Square,2025-02-01,LOW,LOW,0.65,False,False,"{""LOW"": 0.9815, ""MEDIUM"": 0.0185, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.0
Chhatrapati Square,2025-03-01,LOW,LOW,0.44,False,False,"{""LOW"": 0.9875, ""MEDIUM"": 0.0125, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.0
Chhatrapati Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.667
Chhatrapati Square,2025-05-01,LOW,LOW,15.55,False,False,"{""LOW"": 0.5802, ""MEDIUM"": 0.3952, ""HIGH"": 0.0246, ""CRITICAL"": 0.0}",0.0,0.333
Chhatrapati Square,2025-06-01,LOW,LOW,3.66,False,False,"{""LOW"": 0.9012, ""MEDIUM"": 0.0931, ""HIGH"": 0.0057, ""CRITICAL"": 0.0}",2.0,0.667
Chhatrapati Square,2025-07-01,LOW,LOW,3.92,False,False,"{""LOW"": 0.9002, ""MEDIUM"": 0.0876, ""HIGH"": 0.0122, ""CRITICAL"": 0.0}",6.0,2.667
Chhatrapati Square,2025-08-01,LOW,LOW,4.57,False,False,"{""LOW"": 0.8793, ""MEDIUM"": 0.1109, ""HIGH"": 0.0098, ""CRITICAL"": 0.0}",1.0,3.0
Chhatrapati Square,2025-09-01,LOW,LOW,5.68,False,False,"{""LOW"": 0.8737, ""MEDIUM"": 0.0902, ""HIGH"": 0.0361, ""CRITICAL"": 0.0}",2.0,3.0
Chhatrapati Square,2025-10-01,LOW,LOW,3.5,False,False,"{""LOW"": 0.9052, ""MEDIUM"": 0.0895, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",4.0,2.333
Chhatrapati Square,2025-11-01,LOW,LOW,4.88,False,False,"{""LOW"": 0.8659, ""MEDIUM"": 0.1287, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",1.0,2.333
Chhatrapati Square,2025-12-01,LOW,LOW,3.99,False,False,"{""LOW"": 0.8914, ""MEDIUM"": 0.1033, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",3.0,2.667
Deo Nagar Chowk,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Deo Nagar Chowk,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Dharampeth Tower,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Gokulpeth Market,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
HB Town Square,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
IT Park Ring Road,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Itwari Railway Station Square,2025-01-01,LOW,LOW,1.04,False,False,"{""LOW"": 0.9702, ""MEDIUM"": 0.0298, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Itwari Railway Station Square,2025-02-01,LOW,LOW,0.21,False,False,"{""LOW"": 0.994, ""MEDIUM"": 0.006, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Itwari Railway Station Square,2025-03-01,LOW,LOW,0.22,False,False,"{""LOW"": 0.9938, ""MEDIUM"": 0.0062, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,0.5
Itwari Railway Station Square,2025-04-01,LOW,LOW,0.43,False,False,"{""LOW"": 0.9878, ""MEDIUM"": 0.0122, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.333
Itwari Railway Station Square,2025-05-01,LOW,LOW,0.19,False,False,"{""LOW"": 0.9945, ""MEDIUM"": 0.0055, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",3.0,1.333
Itwari Railway Station Square,2025-06-01,LOW,LOW,0.22,False,False,"{""LOW"": 0.9937, ""MEDIUM"": 0.0063, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.333
Itwari Railway Station Square,2025-07-01,LOW,LOW,0.21,False,False,"{""LOW"": 0.9939, ""MEDIUM"": 0.0061, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,2.0
Itwari Railway Station Square,2025-08-01,LOW,LOW,0.22,False,False,"{""LOW"": 0.9938, ""MEDIUM"": 0.0062, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,1.0
Itwari Railway Station Square,2025-09-01,LOW,LOW,1.11,False,False,"{""LOW"": 0.9746, ""MEDIUM"": 0.0191, ""HIGH"": 0.0063, ""CRITICAL"": 0.0}",1.0,1.0
Itwari Railway Station Square,2025-10-01,LOW,LOW,1.1,False,False,"{""LOW"": 0.9685, ""MEDIUM"": 0.0315, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",3.0,1.333
Itwari Railway Station Square,2025-11-01,LOW,LOW,0.66,False,False,"{""LOW"": 0.9812, ""MEDIUM"": 0.0188, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,1.333
Itwari Railway Station Square,2025-12-01,LOW,LOW,0.45,False,False,"{""LOW"": 0.9872, ""MEDIUM"": 0.0128, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",3.0,2.0
Japanese Garden Square,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-09-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Japanese Garden Square,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Jhansi Rani Square,2025-01-01,MEDIUM,MEDIUM,29.54,False,False,"{""LOW"": 0.2379, ""MEDIUM"": 0.6852, ""HIGH"": 0.0706, ""CRITICAL"": 0.0062}",0.0,0.0
Jhansi Rani Square,2025-02-01,MEDIUM,MEDIUM,30.3,False,False,"{""LOW"": 0.2006, ""MEDIUM"": 0.7381, ""HIGH"": 0.0554, ""CRITICAL"": 0.0059}",3.0,3.0
Jhansi Rani Square,2025-03-01,MEDIUM,MEDIUM,44.6,False,False,"{""LOW"": 0.0216, ""MEDIUM"": 0.7015, ""HIGH"": 0.2548, ""CRITICAL"": 0.0221}",13.0,8.0
Jhansi Rani Square,2025-04-01,MEDIUM,MEDIUM,36.32,False,False,"{""LOW"": 0.0353, ""MEDIUM"": 0.8972, ""HIGH"": 0.0612, ""CRITICAL"": 0.0063}",9.0,8.333
Jhansi Rani Square,2025-05-01,LOW,MEDIUM,32.83,True,False,"{""LOW"": 0.1455, ""MEDIUM"": 0.7711, ""HIGH"": 0.0834, ""CRITICAL"": 0.0}",11.0,11.0
Jhansi Rani Square,2025-06-01,LOW,MEDIUM,30.86,True,False,"{""LOW"": 0.1637, ""MEDIUM"": 0.7909, ""HIGH"": 0.0454, ""CRITICAL"": 0.0}",9.0,9.667
Jhansi Rani Square,2025-07-01,MEDIUM,MEDIUM,34.56,False,False,"{""LOW"": 0.0575, ""MEDIUM"": 0.8976, ""HIGH"": 0.0449, ""CRITICAL"": 0.0}",6.0,8.667
Jhansi Rani Square,2025-08-01,LOW,MEDIUM,34.35,True,False,"{""LOW"": 0.094, ""MEDIUM"": 0.8307, ""HIGH"": 0.0753, ""CRITICAL"": 0.0}",5.0,6.667
