junction,period,accident_count,severe_accidents,fatal_accidents,injured_count,fatality_count,vehicles_involved,period_date,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,target_period,future_accidents,future_severe_accidents,future_fatal_accidents,future_injuries,future_risk_score,risk_level
Airport T-Point,2020-10,1,0,0,3,0,2,2020-10-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Airport T-Point,2021-08,2,0,0,2,0,7,2021-08-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Airport T-Point,2022-04,1,0,0,2,0,1,2022-04-01,2.0,2.0,4.0,,,,,,,,,,0.0,LOW
Airport T-Point,2022-06,1,0,0,2,0,3,2022-06-01,1.0,1.0,4.0,,,,,2022-06-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Airport T-Point,2022-07,1,0,0,0,0,2,2022-07-01,1.0,1.0,4.0,,,,,2022-07-01,2.0,1.0,0.0,5.0,6.0,HIGH
Airport T-Point,2022-08,2,1,0,5,0,6,2022-08-01,1.0,1.0,3.0,,,,,2022-08-01,1.0,0.0,0.0,3.0,1.6,HIGH
Airport T-Point,2022-09,1,0,0,3,0,4,2022-09-01,2.0,2.0,4.0,,,,,2022-09-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Airport T-Point,2022-10,1,0,0,0,0,2,2022-10-01,1.0,1.0,4.0,,,,,2022-10-01,3.0,0.0,0.0,1.0,3.2,HIGH
Airport T-Point,2022-11,3,0,0,1,0,8,2022-11-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Airport T-Point,2023-01,1,1,1,1,2,3,2023-01-01,3.0,3.0,5.0,,,,,,,,,,0.0,LOW
Airport T-Point,2023-05,1,1,1,2,2,1,2023-05-01,1.0,1.0,5.0,,,,,,,,,,0.0,LOW
Airport T-Point,2023-07,1,0,0,0,0,2,2023-07-01,1.0,1.0,5.0,16.0,2.0,21.0,1.3333333333333333,,,,,,0.0,LOW
Airport T-Point,2023-09,3,0,0,4,0,9,2023-09-01,1.0,1.0,3.0,16.0,2.0,21.0,1.3333333333333333,,,,,,0.0,LOW
Airport T-Point,2024-06,1,0,0,0,0,2,2024-06-01,3.0,3.0,5.0,18.0,2.0,22.0,1.5,,,,,,0.0,LOW
Airport T-Point,2024-09,1,0,0,1,0,4,2024-09-01,1.0,1.0,5.0,17.0,2.0,20.0,1.4166666666666667,,,,,,0.0,LOW
Airport T-Point,2024-11,1,1,0,3,0,3,2024-11-01,1.0,1.0,5.0,17.0,2.0,19.0,1.4166666666666667,,,,,,0.0,LOW
Airport T-Point,2025-01,2,0,0,1,0,4,2025-01-01,1.0,1.0,3.0,17.0,2.0,20.0,1.4166666666666667,,,,,,0.0,LOW
Airport T-Point,2025-03,2,0,0,4,0,8,2025-03-01,2.0,2.0,4.0,18.0,2.0,21.0,1.5,,,,,,0.0,LOW
Airport T-Point,2025-05,1,0,0,1,0,2,2025-05-01,2.0,2.0,5.0,18.0,2.0,20.0,1.5,2025-05-01,2.0,0.0,0.0,2.0,2.4,HIGH
Airport T-Point,2025-06,2,0,0,2,0,3,2025-06-01,1.0,1.0,5.0,18.0,2.0,18.0,1.5,2025-06-01,2.0,0.0,0.0,1.0,2.2,HIGH
Airport T-Point,2025-07,2,0,0,1,0,7,2025-07-01,2.0,2.0,5.0,19.0,2.0,20.0,1.5833333333333333,2025-07-01,1.0,0.0,0.0,2.0,1.4,HIGH
Airport T-Point,2025-08,1,0,0,2,0,4,2025-08-01,2.0,2.0,5.0,18.0,2.0,20.0,1.5,2025-08-01,2.0,0.0,0.0,2.0,2.4,HIGH
Airport T-Point,2025-09,2,0,0,2,0,6,2025-09-01,1.0,1.0,5.0,18.0,1.0,21.0,1.5,,,,,,0.0,LOW
Airport T-Point,2025-11,1,0,0,0,0,3,2025-11-01,2.0,2.0,5.0,19.0,0.0,21.0,1.5833333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2020-05,2,1,1,5,1,5,2020-05-01,,,,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2020-08,1,0,0,0,0,2,2020-08-01,2.0,2.0,,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2020-10,1,0,0,1,0,4,2020-10-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2020-12,2,0,0,3,0,6,2020-12-01,1.0,1.0,4.0,,,,,2020-12-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajit Bakery Square,2021-01,1,0,0,1,0,4,2021-01-01,2.0,2.0,4.0,,,,,2021-01-01,2.0,2.0,0.0,6.0,9.2,HIGH
Ajit Bakery Square,2021-02,2,2,0,6,0,2,2021-02-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2021-05,1,0,0,1,0,3,2021-05-01,2.0,2.0,5.0,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2021-11,1,0,0,3,0,2,2021-11-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Ajit Bakery Square,2022-01,1,0,0,0,0,1,2022-01-01,1.0,1.0,4.0,,,,,2022-01-01,1.0,1.0,0.0,4.0,4.8,HIGH
Ajit Bakery Square,2022-02,1,1,0,4,0,3,2022-02-01,1.0,1.0,3.0,,,,,2022-02-01,1.0,1.0,0.0,5.0,5.0,HIGH
Ajit Bakery Square,2022-03,1,1,0,5,0,4,2022-03-01,1.0,1.0,3.0,,,,,2022-03-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Ajit Bakery Square,2022-04,1,0,0,0,0,3,2022-04-01,1.0,1.0,3.0,,,,,2022-04-01,1.0,0.0,0.0,2.0,1.4,HIGH
Ajit Bakery Square,2022-05,1,0,0,2,0,2,2022-05-01,1.0,1.0,3.0,15.0,1.0,29.0,1.25,,,,,,0.0,LOW
Ajit Bakery Square,2022-08,1,0,0,0,0,3,2022-08-01,1.0,1.0,3.0,14.0,0.0,26.0,1.1666666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2022-10,2,0,0,2,0,5,2022-10-01,1.0,1.0,3.0,14.0,0.0,26.0,1.1666666666666667,2022-10-01,3.0,1.0,1.0,5.0,12.0,HIGH
Ajit Bakery Square,2022-11,3,1,1,5,1,6,2022-11-01,2.0,2.0,4.0,15.0,0.0,27.0,1.25,2022-11-01,1.0,0.0,0.0,2.0,1.4,HIGH
Ajit Bakery Square,2022-12,1,0,0,2,0,3,2022-12-01,3.0,3.0,6.0,16.0,1.0,29.0,1.3333333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2023-02,3,0,0,1,0,11,2023-02-01,1.0,1.0,6.0,16.0,1.0,30.0,1.3333333333333333,2023-02-01,1.0,0.0,0.0,3.0,1.6,HIGH
Ajit Bakery Square,2023-03,1,0,0,3,0,1,2023-03-01,3.0,3.0,7.0,17.0,1.0,25.0,1.4166666666666667,2023-03-01,1.0,1.0,1.0,3.0,9.6,HIGH
Ajit Bakery Square,2023-04,1,1,1,3,1,2,2023-04-01,1.0,1.0,5.0,17.0,1.0,27.0,1.4166666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2023-06,1,0,0,1,0,2,2023-06-01,1.0,1.0,5.0,17.0,2.0,27.0,1.4166666666666667,2023-06-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajit Bakery Square,2023-07,1,0,0,1,0,2,2023-07-01,1.0,1.0,3.0,17.0,2.0,28.0,1.4166666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2023-09,1,0,0,0,0,1,2023-09-01,1.0,1.0,3.0,17.0,2.0,25.0,1.4166666666666667,2023-09-01,2.0,1.0,0.0,4.0,5.8,HIGH
Ajit Bakery Square,2023-10,2,1,0,4,0,4,2023-10-01,1.0,1.0,3.0,17.0,2.0,20.0,1.4166666666666667,2023-10-01,2.0,0.0,0.0,4.0,2.8,HIGH
Ajit Bakery Square,2023-11,2,0,0,4,0,3,2023-11-01,2.0,2.0,4.0,18.0,2.0,24.0,1.5,2023-11-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajit Bakery Square,2023-12,1,0,0,1,0,3,2023-12-01,2.0,2.0,5.0,19.0,2.0,26.0,1.5833333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2024-02,1,0,0,3,0,1,2024-02-01,1.0,1.0,5.0,19.0,2.0,27.0,1.5833333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2024-04,1,0,0,0,0,4,2024-04-01,1.0,1.0,4.0,18.0,2.0,28.0,1.5,,,,,,0.0,LOW
Ajit Bakery Square,2024-07,1,0,0,1,0,3,2024-07-01,1.0,1.0,3.0,16.0,1.0,23.0,1.3333333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2024-09,1,0,0,3,0,1,2024-09-01,1.0,1.0,3.0,16.0,1.0,22.0,1.3333333333333333,,,,,,0.0,LOW
Ajit Bakery Square,2024-11,1,1,0,5,0,1,2024-11-01,1.0,1.0,3.0,14.0,1.0,24.0,1.1666666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2025-03,1,0,0,3,0,1,2025-03-01,1.0,1.0,3.0,14.0,1.0,26.0,1.1666666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2025-05,1,1,0,3,0,4,2025-05-01,1.0,1.0,3.0,14.0,0.0,26.0,1.1666666666666667,,,,,,0.0,LOW
Ajit Bakery Square,2025-10,2,1,1,3,2,2,2025-10-01,1.0,1.0,3.0,14.0,0.0,28.0,1.1666666666666667,2025-10-01,2.0,0.0,0.0,4.0,2.8,HIGH
Ajit Bakery Square,2025-11,2,0,0,4,0,2,2025-11-01,2.0,2.0,4.0,15.0,1.0,30.0,1.25,,,,,,0.0,LOW
Ajni Chowk,2020-02,1,1,1,2,2,2,2020-02-01,,,,,,,,2020-02-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajni Chowk,2020-03,1,0,0,1,0,3,2020-03-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Ajni Chowk,2020-06,1,0,0,1,0,3,2020-06-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Ajni Chowk,2020-11,1,0,0,3,0,3,2020-11-01,1.0,1.0,3.0,,,,,2020-11-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Ajni Chowk,2020-12,1,0,0,0,0,1,2020-12-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Ajni Chowk,2021-05,2,1,1,3,2,7,2021-05-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Ajni Chowk,2022-02,1,0,0,0,0,1,2022-02-01,2.0,2.0,4.0,,,,,2022-02-01,1.0,1.0,1.0,4.0,9.8,HIGH
Ajni Chowk,2022-03,1,1,1,4,1,4,2022-03-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Ajni Chowk,2022-05,2,1,0,4,0,3,2022-05-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Ajni Chowk,2022-09,1,1,1,2,2,3,2022-09-01,2.0,2.0,4.0,,,,,2022-09-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Ajni Chowk,2022-10,1,0,0,0,0,4,2022-10-01,1.0,1.0,4.0,,,,,2022-10-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajni Chowk,2022-11,1,0,0,1,0,4,2022-11-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Ajni Chowk,2023-01,1,0,0,3,0,3,2023-01-01,1.0,1.0,3.0,14.0,4.0,21.0,1.1666666666666667,,,,,,0.0,LOW
Ajni Chowk,2023-04,1,0,0,0,0,2,2023-04-01,1.0,1.0,3.0,14.0,3.0,22.0,1.1666666666666667,2023-04-01,1.0,1.0,0.0,4.0,4.8,HIGH
Ajni Chowk,2023-05,1,1,0,4,0,3,2023-05-01,1.0,1.0,3.0,14.0,3.0,21.0,1.1666666666666667,2023-05-01,1.0,1.0,0.0,2.0,4.4,HIGH
Ajni Chowk,2023-06,1,1,0,2,0,3,2023-06-01,1.0,1.0,3.0,14.0,3.0,24.0,1.1666666666666667,,,,,,0.0,LOW
Ajni Chowk,2024-02,1,0,0,1,0,2,2024-02-01,1.0,1.0,3.0,14.0,3.0,23.0,1.1666666666666667,2024-02-01,1.0,1.0,0.0,4.0,4.8,HIGH
Ajni Chowk,2024-03,1,1,0,4,0,2,2024-03-01,1.0,1.0,3.0,14.0,3.0,24.0,1.1666666666666667,2024-03-01,2.0,1.0,0.0,4.0,5.8,HIGH
Ajni Chowk,2024-04,2,1,0,4,0,5,2024-04-01,1.0,1.0,3.0,13.0,2.0,25.0,1.0833333333333333,,,,,,0.0,LOW
Ajni Chowk,2024-06,1,0,0,1,0,2,2024-06-01,2.0,2.0,4.0,14.0,2.0,29.0,1.1666666666666667,2024-06-01,1.0,1.0,0.0,2.0,4.4,HIGH
Ajni Chowk,2024-07,1,1,0,2,0,2,2024-07-01,1.0,1.0,4.0,14.0,1.0,26.0,1.1666666666666667,2024-07-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Ajni Chowk,2024-08,1,0,0,0,0,4,2024-08-01,1.0,1.0,4.0,13.0,1.0,24.0,1.0833333333333333,,,,,,0.0,LOW
Ajni Chowk,2024-12,1,0,0,1,0,3,2024-12-01,1.0,1.0,3.0,13.0,0.0,22.0,1.0833333333333333,2024-12-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Ajni Chowk,2025-01,1,0,0,1,0,4,2025-01-01,1.0,1.0,3.0,13.0,0.0,23.0,1.0833333333333333,2025-01-01,1.0,1.0,1.0,3.0,9.6,HIGH
Ajni Chowk,2025-02,1,1,1,3,1,3,2025-02-01,1.0,1.0,3.0,13.0,0.0,23.0,1.0833333333333333,2025-02-01,2.0,1.0,0.0,6.0,6.2,HIGH
Ajni Chowk,2025-03,2,1,0,6,0,3,2025-03-01,1.0,1.0,3.0,13.0,1.0,23.0,1.0833333333333333,,,,,,0.0,LOW
Ajni Chowk,2025-05,1,0,0,0,0,1,2025-05-01,2.0,2.0,4.0,14.0,1.0,29.0,1.1666666666666667,2025-05-01,3.0,0.0,0.0,4.0,3.8,HIGH
Ajni Chowk,2025-06,3,0,0,4,0,7,2025-06-01,1.0,1.0,4.0,14.0,1.0,25.0,1.1666666666666667,,,,,,0.0,LOW
Ajni Chowk,2025-09,1,0,0,3,0,2,2025-09-01,3.0,3.0,6.0,16.0,1.0,27.0,1.3333333333333333,2025-09-01,2.0,0.0,0.0,1.0,2.2,HIGH
Ajni Chowk,2025-10,2,0,0,1,0,5,2025-10-01,1.0,1.0,5.0,16.0,1.0,29.0,1.3333333333333333,2025-10-01,1.0,0.0,0.0,2.0,1.4,HIGH
Ajni Chowk,2025-11,1,0,0,2,0,4,2025-11-01,2.0,2.0,6.0,17.0,1.0,26.0,1.4166666666666667,2025-11-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Ajni Chowk,2025-12,1,0,0,0,0,3,2025-12-01,1.0,1.0,4.0,16.0,1.0,24.0,1.3333333333333333,,,,,,0.0,LOW
Alankar Square,2020-08,1,0,0,1,0,4,2020-08-01,,,,,,,,,,,,,0.0,LOW
Alankar Square,2020-11,1,1,0,5,0,3,2020-11-01,1.0,1.0,,,,,,2020-11-01,1.0,0.0,0.0,2.0,1.4,HIGH
Alankar Square,2020-12,1,0,0,2,0,2,2020-12-01,1.0,1.0,,,,,,2020-12-01,2.0,0.0,0.0,3.0,2.6,HIGH
Alankar Square,2021-01,2,0,0,3,0,6,2021-01-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Alankar Square,2021-11,2,0,0,2,0,8,2021-11-01,2.0,2.0,4.0,,,,,,,,,,0.0,LOW
Alankar Square,2022-03,1,0,0,1,0,1,2022-03-01,2.0,2.0,5.0,,,,,2022-03-01,3.0,1.0,1.0,3.0,11.6,HIGH
Alankar Square,2022-04,3,1,1,3,2,6,2022-04-01,1.0,1.0,5.0,,,,,2022-04-01,2.0,0.0,0.0,2.0,2.4,HIGH
Alankar Square,2022-05,2,0,0,2,0,5,2022-05-01,3.0,3.0,6.0,,,,,,,,,,0.0,LOW
Alankar Square,2022-07,2,0,0,1,0,5,2022-07-01,2.0,2.0,6.0,,,,,,,,,,0.0,LOW
Alankar Square,2022-09,1,0,0,0,0,1,2022-09-01,2.0,2.0,7.0,,,,,2022-09-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Alankar Square,2022-10,1,0,0,1,0,3,2022-10-01,1.0,1.0,5.0,,,,,2022-10-01,2.0,0.0,0.0,3.0,2.6,HIGH
Alankar Square,2022-11,2,0,0,3,0,4,2022-11-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Alankar Square,2023-02,1,0,0,2,0,2,2023-02-01,2.0,2.0,4.0,19.0,1.0,24.0,1.5833333333333333,,,,,,0.0,LOW
Alankar Square,2023-04,2,0,0,0,0,4,2023-04-01,1.0,1.0,4.0,19.0,1.0,25.0,1.5833333333333333,2023-04-01,1.0,0.0,0.0,3.0,1.6,HIGH
Alankar Square,2023-05,1,0,0,3,0,3,2023-05-01,2.0,2.0,5.0,20.0,1.0,20.0,1.6666666666666667,2023-05-01,1.0,0.0,0.0,2.0,1.4,HIGH
Alankar Square,2023-06,1,0,0,2,0,1,2023-06-01,1.0,1.0,4.0,20.0,1.0,21.0,1.6666666666666667,2023-06-01,1.0,0.0,0.0,3.0,1.6,HIGH
Alankar Square,2023-07,1,0,0,3,0,2,2023-07-01,1.0,1.0,4.0,19.0,1.0,20.0,1.5833333333333333,,,,,,0.0,LOW
Alankar Square,2023-09,1,0,0,1,0,3,2023-09-01,1.0,1.0,3.0,18.0,1.0,21.0,1.5,,,,,,0.0,LOW
Alankar Square,2023-12,1,0,0,1,0,1,2023-12-01,1.0,1.0,3.0,18.0,1.0,21.0,1.5,,,,,,0.0,LOW
Alankar Square,2024-02,1,0,0,3,0,2,2024-02-01,1.0,1.0,3.0,16.0,0.0,19.0,1.3333333333333333,,,,,,0.0,LOW
Alankar Square,2024-06,3,0,0,1,0,6,2024-06-01,1.0,1.0,3.0,15.0,0.0,20.0,1.25,2024-06-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Alankar Square,2024-07,1,0,0,0,0,2,2024-07-01,3.0,3.0,5.0,16.0,0.0,20.0,1.3333333333333333,2024-07-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Alankar Square,2024-08,1,0,0,0,0,2,2024-08-01,1.0,1.0,5.0,16.0,0.0,20.0,1.3333333333333333,,,,,,0.0,LOW
Alankar Square,2025-01,1,0,0,1,0,1,2025-01-01,1.0,1.0,5.0,16.0,0.0,19.0,1.3333333333333333,,,,,,0.0,LOW
Alankar Square,2025-05,1,0,0,0,0,4,2025-05-01,1.0,1.0,3.0,15.0,0.0,17.0,1.25,2025-05-01,1.0,1.0,0.0,5.0,5.0,HIGH
Alankar Square,2025-06,1,1,0,5,0,1,2025-06-01,1.0,1.0,3.0,15.0,0.0,15.0,1.25,2025-06-01,1.0,0.0,0.0,3.0,1.6,HIGH
Alankar Square,2025-07,1,0,0,3,0,2,2025-07-01,1.0,1.0,3.0,14.0,0.0,20.0,1.1666666666666667,2025-07-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Alankar Square,2025-08,1,0,0,0,0,2,2025-08-01,1.0,1.0,3.0,14.0,0.0,20.0,1.1666666666666667,2025-08-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Alankar Square,2025-09,1,0,0,1,0,2,2025-09-01,1.0,1.0,3.0,14.0,0.0,18.0,1.1666666666666667,,,,,,0.0,LOW
Automotive Square,2020-02,1,0,0,0,0,3,2020-02-01,,,,,,,,,,,,,0.0,LOW
Automotive Square,2020-04,1,0,0,1,0,2,2020-04-01,1.0,1.0,,,,,,2020-04-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Automotive Square,2020-05,1,0,0,1,0,3,2020-05-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Automotive Square,2020-09,1,0,0,1,0,3,2020-09-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Automotive Square,2021-01,1,0,0,1,0,1,2021-01-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Automotive Square,2021-03,2,0,0,2,0,5,2021-03-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Automotive Square,2021-08,2,1,0,3,0,8,2021-08-01,2.0,2.0,4.0,,,,,,,,,,0.0,LOW
Automotive Square,2021-12,1,0,0,3,0,1,2021-12-01,2.0,2.0,5.0,,,,,,,,,,0.0,LOW
Automotive Square,2022-02,1,0,0,0,0,1,2022-02-01,1.0,1.0,5.0,,,,,,,,,,0.0,LOW
Automotive Square,2022-04,2,0,0,2,0,3,2022-04-01,1.0,1.0,4.0,,,,,2022-04-01,2.0,0.0,0.0,2.0,2.4,HIGH
Automotive Square,2022-05,2,0,0,2,0,5,2022-05-01,2.0,2.0,4.0,,,,,,,,,,0.0,LOW
Automotive Square,2022-07,2,0,0,1,0,6,2022-07-01,2.0,2.0,5.0,,,,,2022-07-01,3.0,0.0,0.0,4.0,3.8,HIGH
Automotive Square,2022-08,3,0,0,4,0,4,2022-08-01,2.0,2.0,6.0,17.0,0.0,17.0,1.4166666666666667,,,,,,0.0,LOW
Automotive Square,2022-10,3,0,0,3,0,7,2022-10-01,3.0,3.0,7.0,19.0,0.0,21.0,1.5833333333333333,2022-10-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Automotive Square,2022-11,1,0,0,0,0,4,2022-11-01,3.0,3.0,8.0,21.0,0.0,23.0,1.75,2022-11-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Automotive Square,2022-12,1,0,0,0,0,4,2022-12-01,1.0,1.0,7.0,21.0,0.0,22.0,1.75,2022-12-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Automotive Square,2023-01,1,0,0,1,0,2,2023-01-01,1.0,1.0,5.0,21.0,0.0,21.0,1.75,,,,,,0.0,LOW
Automotive Square,2023-03,2,0,0,1,0,5,2023-03-01,1.0,1.0,3.0,21.0,0.0,21.0,1.75,2023-03-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Automotive Square,2023-04,1,0,0,0,0,3,2023-04-01,2.0,2.0,4.0,21.0,0.0,20.0,1.75,,,,,,0.0,LOW
